service_id,date,exception_type
10_3_1,20220421,1
10_3_1,20220422,1
10_3_1,20220426,1
10_3_1,20220427,1
10_3_1,20220428,1
10_3_1,20220429,1
204_5_1,20220419,1
204_5_1,20220420,1
204_5_1,20220421,1
204_5_1,20220422,1
204_5_1,20220426,1
204_5_1,20220427,1
204_5_1,20220428,1
204_5_1,20220429,1
205_2_1,20220423,1
205_2_1,20220430,1
228_1,20220419,1
228_1,20220420,1
228_1,20220421,1
228_1,20220422,1
228_1,20220426,1
228_1,20220427,1
228_1,20220428,1
228_1,20220429,1
701_1_1,20220423,1
701_1_1,20220430,1
313_1_1,20220419,1
313_1_1,20220420,1
313_1_1,20220426,1
313_1_1,20220427,1
10_1_1,20220423,1
10_1_1,20220430,1
510_1,20220423,1
510_1,20220430,1
103_1_1,20220423,1
103_1_1,20220430,1
3021_1,20220419,1
3021_1,20220420,1
3021_1,20220421,1
3021_1,20220422,1
3021_1,20220426,1
3021_1,20220427,1
3021_1,20220428,1
3021_1,20220429,1
1072_1,20220417,1
1072_1,20220418,1
1072_1,20220424,1
1072_1,20220425,1
50_1_1,20220419,1
50_1_1,20220420,1
50_1_1,20220421,1
50_1_1,20220422,1
50_1_1,20220426,1
50_1_1,20220427,1
50_1_1,20220428,1
50_1_1,20220429,1
WHF MTuWThF-XHol_1,20220419,1
WHF MTuWThF-XHol_1,20220420,1
WHF MTuWThF-XHol_1,20220421,1
WHF MTuWThF-XHol_1,20220422,1
WHF MTuWThF-XHol_1,20220426,1
WHF MTuWThF-XHol_1,20220427,1
WHF MTuWThF-XHol_1,20220428,1
WHF MTuWThF-XHol_1,20220429,1
109_1_1,20220423,1
109_1_1,20220430,1
704_1,20220423,1
704_1,20220430,1
408_1,20220417,1
408_1,20220418,1
408_1,20220424,1
408_1,20220425,1
4_1,20220417,1
4_1,20220424,1
606_1,20220419,1
606_1,20220420,1
606_1,20220421,1
606_1,20220422,1
606_1,20220426,1
606_1,20220427,1
606_1,20220428,1
606_1,20220429,1
2081_1,20220423,1
2081_1,20220430,1
13_2_1,20220419,1
13_2_1,20220420,1
13_2_1,20220421,1
13_2_1,20220422,1
13_2_1,20220426,1
13_2_1,20220427,1
13_2_1,20220428,1
13_2_1,20220429,1
75_1,20220419,1
75_1,20220420,1
75_1,20220421,1
75_1,20220422,1
75_1,20220426,1
75_1,20220427,1
75_1,20220428,1
75_1,20220429,1
117_1_1,20220419,1
117_1_1,20220420,1
117_1_1,20220421,1
117_1_1,20220422,1
117_1_1,20220426,1
117_1_1,20220427,1
117_1_1,20220428,1
117_1_1,20220429,1
58_1,20220419,1
58_1,20220420,1
58_1,20220421,1
58_1,20220422,1
58_1,20220426,1
58_1,20220427,1
58_1,20220428,1
58_1,20220429,1
301_1,20220417,1
301_1,20220418,1
301_1,20220424,1
301_1,20220425,1
2011_1,20220423,1
2011_1,20220430,1
403_1_1,20220423,1
403_1_1,20220430,1
4_4_1,20220418,1
4_4_1,20220425,1
3191_1,20220419,1
3191_1,20220420,1
3191_1,20220421,1
3191_1,20220422,1
3191_1,20220426,1
3191_1,20220427,1
3191_1,20220428,1
3191_1,20220429,1
Rail SaSu+Hol-Xmas (WRL)_1,20220417,1
Rail SaSu+Hol-Xmas (WRL)_1,20220418,1
Rail SaSu+Hol-Xmas (WRL)_1,20220423,1
Rail SaSu+Hol-Xmas (WRL)_1,20220424,1
Rail SaSu+Hol-Xmas (WRL)_1,20220425,1
Rail SaSu+Hol-Xmas (WRL)_1,20220430,1
200_1_1,20220423,1
200_1_1,20220430,1
302_1_1,20220423,1
302_1_1,20220430,1
712_1,20220423,1
712_1,20220430,1
207_2_1,20220423,1
207_2_1,20220430,1
3_3_1,20220419,1
3_3_1,20220420,1
3_3_1,20220421,1
3_3_1,20220422,1
3_3_1,20220426,1
3_3_1,20220427,1
3_3_1,20220428,1
