service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
50_1,0,0,0,0,0,0,0,20220206,20220312
55_1,0,0,0,0,0,0,0,20220206,20220312
602_2_1,0,0,0,0,0,0,0,20220206,20220312
209_1_1,0,0,0,0,0,0,0,20220206,20220312
611_1,0,0,0,0,0,0,0,20220206,20220312
131_1,0,0,0,0,0,0,0,20220206,20220312
20_2_1,0,0,0,0,0,0,0,20220206,20220312
3121_1,0,0,0,0,0,0,0,20220206,20220312
3061_1,0,0,0,0,0,0,0,20220206,20220312
45_3_1,0,0,0,0,0,0,0,20220206,20220312
17_2_1,0,0,0,0,0,0,0,20220206,20220312
214_1_1,0,0,0,0,0,0,0,20220206,20220312
523_1,0,0,0,0,0,0,0,20220206,20220312
110_3_1,0,0,0,0,0,0,0,20220206,20220312
34_1_1,0,0,0,0,0,0,0,20220206,20220312
601_1_1,0,0,0,0,0,0,0,20220206,20220312
102_2_1,0,0,0,0,0,0,0,20220206,20220312
231_1,0,0,0,0,0,0,0,20220206,20220312
21_2_1,0,0,0,0,0,0,0,20220206,20220312
Rail MTuWThF-XHol_1,0,0,0,0,0,0,0,20220206,20220312
84_1,0,0,0,0,0,0,0,20220206,20220312
402_1_1,0,0,0,0,0,0,0,20220206,20220312
30_1_1,0,0,0,0,0,0,0,20220206,20220312
430_1,0,0,0,0,0,0,0,20220206,20220312
39_1_1,0,0,0,0,0,0,0,20220206,20220312
9_1,0,0,0,0,0,0,0,20220206,20220312
38_2_1,0,0,0,0,0,0,0,20220206,20220312
114_1,0,0,0,0,0,0,0,20220206,20220312
319_1,0,0,0,0,0,0,0,20220206,20220312
47_1,0,0,0,0,0,0,0,20220206,20220312
77_1,0,0,0,0,0,0,0,20220206,20220312
603_2_1,0,0,0,0,0,0,0,20220206,20220312
306_1,0,0,0,0,0,0,0,20220206,20220312
522_1,0,0,0,0,0,0,0,20220206,20220312
45_1,0,0,0,0,0,0,0,20220206,20220312
206_1_1,0,0,0,0,0,0,0,20220206,20220312
613_1,0,0,0,0,0,0,0,20220206,20220312
204_2_1,0,0,0,0,0,0,0,20220206,20220312
46_1,0,0,0,0,0,0,0,20220206,20220312
WHF Sa_1,0,0,0,0,0,0,0,20220206,20220312
44_2_1,0,0,0,0,0,0,0,20220206,20220312
43_1_1,0,0,0,0,0,0,0,20220206,20220312
107_2_1,0,0,0,0,0,0,0,20220206,20220312
108_1,0,0,0,0,0,0,0,20220206,20220312
38_3_1,0,0,0,0,0,0,0,20220206,20220312
204_4_1,0,0,0,0,0,0,0,20220206,20220312
