from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
2001,PORI1,2,0,220__0__737__TZM__302__302,KPL__1__6451__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__152__TZM__612__612,HVL__1__3629__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,160__1__152__TZM__612__1__612__1,HVL__1__3629__RAIL__Rail_MTuWThF-XHol
7224,7224,2,120,12__1__726__NBM__36__36,2__0__791__NBM__1__1
7224,7224,2,120,12__1__726__NBM__36__36,2__0__791__NBM__1copy__1copy
WATE2,9140,2,0,HVL__0__3840__RAIL__Rail_SaSu+Hol,170__0__433__TZM__604__604
7017,7017,2,120,23__1__714__TZM__107__107,1__0__739__TZM__109__1__109__1
8140,WATE1,2,0,170__0__173__TZM__441__441,HVL__1__3643__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,170__0__173__TZM__441__1__441__1,HVL__1__3643__RAIL__Rail_MTuWThF-XHol
3000,3000,2,300,1__0__487__TZM__202__2__202__2,60__0__447__MNM__2042__2042
9150,MELL,2,240,145__1__102__TZM__406__2__406__2,MEL__1__5601__RAIL__Rail_MTuWThF-XHol
9150,MELL,2,240,145__1__102__TZM__406__3__406__3,MEL__1__5601__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__122__TZM__308__1__308__1,KPL__1__6301__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__122__TZM__308__2__308__2,KPL__1__6301__RAIL__Rail_MTuWThF-XHol
7017,7017,2,120,23__1__404__TZM__110__1__110__1,1__0__409__TZM__206__2__206__2
8251,TAIT1,2,0,120__1__178__TZM__410__1__410__1,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__180__TZM__419__1__419__1,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__180__TZM__419__2__419__2,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__180__TZM__419__3__419__3,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
7083,7083,2,120,18__1__210__NBM__72__72,2__0__255__NBM__59__59
7083,7083,2,120,18__1__210__NBM__72__72,2__0__255__NBM__59copy__59copy
7720,7700,2,60,29__1__450__TZM__117__1__117__1,7__1__508__TZM__204__3__204__3
7720,7700,2,60,29__1__450__TZM__117__1__117__1,7__1__508__TZM__204__7__204__7
PORI2,2002,2,0,KPL__0__6416__RAIL__Rail_SaSu+Hol,230__0__403__TZM__303__2__303__2
PORI2,2002,2,0,KPL__0__6416__RAIL__Rail_SaSu+Hol,230__0__403__TZM__303__5__303__5
9416,SILV,2,240,115__0__105__TZM__506__2__506__2,HVL__1__2615__RAIL__Rail_MTuWThF-XHol
9416,SILV,2,240,115__0__105__TZM__506__3__506__3,HVL__1__2615__RAIL__Rail_MTuWThF-XHol
7083,7083,2,120,18__1__106__NBM__110__3__110__3,2__0__133__NBM__112__3__112__3
7083,7083,2,120,18__1__106__NBM__110__3copy__110__3copy,2__0__133__NBM__112__3__112__3
6081,6081,2,120,2__1__446__NBM__6__1__6__1,18__0__447__NBM__14__1__14__1
9150,MELL,2,240,145__1__118__TZM__406__2__406__2,MEL__1__5627__RAIL__Rail_MTuWThF-XHol
9150,MELL,2,240,145__1__118__TZM__406__3__406__3,MEL__1__5627__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3838__RAIL__Rail_SaSu+Hol,160__0__427__TZM__603__1__603__1
8140,WATE1,2,0,160__1__416__TZM__602__1__602__1,HVL__1__3825__RAIL__Rail_SaSu+Hol
8165,WATE1,2,0,130__1__730__TZM__406__406,HVL__1__3843__RAIL__Rail_SaSu+Hol
UPPE,8579,2,240,HVL__0__3868__RAIL__Rail_SaSu+Hol,110__0__751__TZM__505__1__505__1
TAIT2,9251,2,0,HVL__0__3846__RAIL__Rail_SaSu+Hol,120__0__457__TZM__413__413
6081,6081,2,120,2__1__572__NBM__23__23,18__0__765__NBM__30__30
PORI1,2002,2,0,KPL__1__6337__RAIL__Rail_MTuWThF-XHol,60__1__162__MNM__3042__3042
7720,7700,2,60,29__1__428__TZM__103__1__103__1,7__1__460__TZM__204__3__204__3
7720,7700,2,60,29__1__428__TZM__103__1__103__1,7__1__460__TZM__204__7__204__7
PORI2,2002,2,0,KPL__0__6342__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__301__2__301__2
PORI2,2002,2,0,KPL__0__6342__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__301__3__301__3
PORI2,2002,2,0,KPL__0__6342__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__301__4__301__4
PORI2,2002,2,0,KPL__0__8224__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__301__2__301__2
PORI2,2002,2,0,KPL__0__8224__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__301__3__301__3
PORI2,2002,2,0,KPL__0__8224__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__301__4__301__4
PORI2,2003,2,0,KPL__0__6464__RAIL__Rail_SaSu+Hol,220__1__744__TZM__305__305
8580,UPPE,2,240,111__0__137__TZM__518__518,HVL__1__3619__RAIL__Rail_MTuWThF-XHol
WAIK,1501,2,240,KPL__0__6460__RAIL__Rail_SaSu+Hol,280__0__425__UZM__4702__4702
2003,PORI1,2,0,210__1__408__TZM__305__1__305__1,KPL__1__6423__RAIL__Rail_SaSu+Hol
8297,TAIT1,2,0,121__1__114__TZM__427__427,HVL__1__2623__RAIL__Rail_MTuWThF-XHol
8297,TAIT1,2,0,121__1__114__TZM__427__1__427__1,HVL__1__2623__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,236__1__430__TZM__306__1__306__1,KPL__1__6467__RAIL__Rail_SaSu+Hol
PORI2,2003,2,0,KPL__0__6444__RAIL__Rail_SaSu+Hol,220__1__432__TZM__304__1__304__1
PORI2,2003,2,0,KPL__0__6444__RAIL__Rail_SaSu+Hol,220__1__432__TZM__304__3__304__3
3000,3000,2,300,1__0__455__TZM__101__3__101__3,19__0__427__TZM__210__210
UPPE,8579,2,240,HVL__0__3824__RAIL__Rail_SaSu+Hol,111__0__417__TZM__508__508
6720,7720,2,120,7__0__441__TZM__204__3__204__3,17__0__421__TZM__102__1__102__1
6720,7720,2,120,7__0__441__TZM__204__7__204__7,17__0__421__TZM__102__1__102__1
7720,7700,2,60,17__1__410__TZM__102__1__102__1,7__1__426__TZM__209__1__209__1
6720,7720,2,120,7__0__135__TZM__215__1__215__1,29__0__117__TZM__105__2__105__2
6720,7720,2,120,7__0__135__TZM__215__2__215__2,29__0__117__TZM__105__4__105__4
PORI2,2003,2,0,KPL__0__6420__RAIL__Rail_SaSu+Hol,226__0__407__TZM__308__308
PARA2,1000,2,0,KPL__0__6338__RAIL__Rail_MTuWThF-XHol,260__0__143__UZM__1032__1032
8251,TAIT1,2,0,120__1__732__TZM__601__601,HVL__1__3849__RAIL__Rail_SaSu+Hol
PORI2,2002,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,236__0__131__TZM__316__316
PORI2,2002,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,236__0__131__TZM__316__1__316__1
PORI2,2002,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,236__0__131__TZM__316__2__316__2
PORI2,2002,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,236__0__131__TZM__316__3__316__3
PORI2,2001,2,0,KPL__0__6338__RAIL__Rail_MTuWThF-XHol,210__0__135__TZM__306__2__306__2
PORI2,2001,2,0,KPL__0__8218__RAIL__Rail_MTuWThF-XHol,210__0__135__TZM__306__2__306__2
6081,6081,2,120,2__1__162__NBM__100__100,18__0__137__NBM__110__3__110__3
6081,6081,2,120,2__1__162__NBM__100__100,18__0__137__NBM__110__3copy__110__3copy
2002,PORI2,2,0,60__0__115__MNM__3031__3031,KPL__0__6236__RAIL__Rail_MTuWThF-XHol
1001,PARA1,2,0,250__0__411__UZM__4705__4705,KPL__1__6435__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__728__TZM__603__603,HVL__1__3865__RAIL__Rail_SaSu+Hol
WATE2,9140,2,0,HVL__0__3636__RAIL__Rail_MTuWThF-XHol,170__0__169__TZM__608__608
WATE2,9140,2,0,HVL__0__3636__RAIL__Rail_MTuWThF-XHol,170__0__169__TZM__608__1__608__1
PORI2,2003,2,0,KPL__0__6434__RAIL__Rail_SaSu+Hol,220__1__422__TZM__301__1__301__1
WATE2,9165,2,0,HVL__0__3860__RAIL__Rail_SaSu+Hol,130__0__743__TZM__406__406
PARA2,1000,2,0,KPL__0__6420__RAIL__Rail_SaSu+Hol,250__0__405__UZM__4704__4704
PORI2,2001,2,0,KPL__0__6456__RAIL__Rail_SaSu+Hol,210__0__719__TZM__306__306
7224,7224,2,120,12__1__132__NBM__7__2__7__2,2__0__193__NBM__150__1__150__1
7224,7224,2,120,12__1__132__NBM__7__2copy__7__2copy,2__0__193__NBM__150__1__150__1
WAIK,1501,2,240,KPL__0__6418__RAIL__Rail_SaSu+Hol,281__0__403__UZM__4702__4702
1001,PARA1,2,0,261__1__146__UZM__3609__3609,KPL__1__6343__RAIL__Rail_MTuWThF-XHol
6224,6224,2,240,2__1__256__NBM__17__2__17__2,12__0__163__NBM__26__2__26__2
6224,6224,2,240,2__1__256__NBM__17__2__17__2,12__0__163__NBM__26__2copy__26__2copy
7224,7224,2,120,12__1__418__NBM__31__1__31__1,2__0__437__NBM__6__1__6__1
2003,PORI1,2,0,220__1__132__TZM__306__2__306__2,KPL__1__6231__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__135__TZM__313__313,KPL__1__6231__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__135__TZM__313__1__313__1,KPL__1__6231__RAIL__Rail_MTuWThF-XHol
3081,3081,2,120,19__0__421__TZM__210__210,1__1__454__TZM__2__4__2__4
3000,3000,2,300,1__0__405__TZM__2__4__2__4,19__0__401__TZM__210__210
PORI2,2003,2,0,KPL__0__6466__RAIL__Rail_SaSu+Hol,220__1__454__TZM__304__1__304__1
PORI2,2003,2,0,KPL__0__6466__RAIL__Rail_SaSu+Hol,220__1__454__TZM__304__3__304__3
7720,7700,2,60,17__1__136__TZM__105__2__105__2,7__1__192__TZM__242__242
7720,7700,2,60,17__1__136__TZM__105__4__105__4,7__1__192__TZM__242__1__242__1
1001,PARA1,2,0,260__1__140__UZM__1313__1313,KPL__1__6335__RAIL__Rail_MTuWThF-XHol
6081,6081,2,120,2__1__244__NBM__17__2__17__2,18e__0__159__NBM__10__2__10__2
8580,UPPE,2,240,110__1__746__TZM__501__501,HVL__1__3859__RAIL__Rail_SaSu+Hol
8580,UPPE,2,240,110__1__746__TZM__501__4__501__4,HVL__1__3859__RAIL__Rail_SaSu+Hol
6055,6017,2,240,1__1__204__TZM__121__121,29__1__138__TZM__109__2__109__2
8251,TAIT1,2,0,120__1__158__TZM__611__611,HVL__1__3607__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__158__TZM__611__2__611__2,HVL__1__3607__RAIL__Rail_MTuWThF-XHol
3081,3081,2,120,19__0__441__TZM__210__210,1__1__494__TZM__2__4__2__4
2001,PORI1,2,0,220__0__119__TZM__310__310,KPL__1__7211__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__112__TZM__314__314,KPL__1__7211__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__112__TZM__314__1__314__1,KPL__1__7211__RAIL__Rail_MTuWThF-XHol
6224,6224,2,240,2__1__494__NBM__24__1__24__1,12__0__439__NBM__20__1__20__1
PORI2,2002,2,0,KPL__0__6444__RAIL__Rail_SaSu+Hol,230__0__417__TZM__303__2__303__2
PORI2,2002,2,0,KPL__0__6444__RAIL__Rail_SaSu+Hol,230__0__417__TZM__303__5__303__5
8580,UPPE,2,240,110__1__102__TZM__501__2__501__2,HVL__1__2605__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3656__RAIL__Rail_MTuWThF-XHol,170__0__183__TZM__614__614
1001,PARA1,2,0,250__0__707__UZM__4105__4105,KPL__1__6427__RAIL__Rail_SaSu+Hol
PARA2,1001,2,240,KPL__0__6314__RAIL__Rail_MTuWThF-XHol,262__0__121__UZM__1313__1313
8251,TAIT1,2,0,120__1__722__TZM__402__402,HVL__1__3839__RAIL__Rail_SaSu+Hol
PARA2,1001,2,240,KPL__0__6242__RAIL__Rail_MTuWThF-XHol,262__0__117__UZM__1312__1312
PARA2,1001,2,240,KPL__0__6230__RAIL__Rail_MTuWThF-XHol,262__0__113__UZM__1312__1312
2003,PORI1,2,0,226__0__159__TZM__304__2__304__2,KPL__1__6349__RAIL__Rail_F-XHol
6224,6224,2,240,2__1__104__NBM__102__3__102__3,12__0__105__NBM__153__153
6224,6224,2,240,2__1__104__NBM__102__3__102__3,12__0__105__NBM__153__1__153__1
6224,6224,2,240,2__1__104__NBM__102__3__102__3,12__0__105__NBM__153copy__153copy
8580,UPPE,2,240,111__0__141__TZM__510__1__510__1,HVL__1__3625__RAIL__Rail_MTuWThF-XHol
8580,UPPE,2,240,111__0__141__TZM__510__2__510__2,HVL__1__3625__RAIL__Rail_MTuWThF-XHol
PORI2,2001,2,0,KPL__0__6320__RAIL__Rail_MTuWThF-XHol,220__0__165__TZM__305__2__305__2
PORI2,2001,2,0,KPL__0__6320__RAIL__Rail_MTuWThF-XHol,220__0__165__TZM__305__3__305__3
TREN,9525,2,240,HVL__0__3822__RAIL__Rail_SaSu+Hol,114__1__404__TZM__508__508
8140,WATE1,2,0,160__1__436__TZM__602__1__602__1,HVL__1__3845__RAIL__Rail_SaSu+Hol
8251,TAIT1,2,0,120__1__142__TZM__608__608,HVL__1__2635__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__142__TZM__608__1__608__1,HVL__1__2635__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,160__1__158__TZM__604__1__604__1,HVL__1__3635__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,160__1__158__TZM__604__3__604__3,HVL__1__3635__RAIL__Rail_MTuWThF-XHol
9416,SILV,2,240,115__0__129__TZM__518__518,HVL__1__3635__RAIL__Rail_MTuWThF-XHol
7224,7224,2,120,12__1__140__NBM__15__2__15__2,2__0__215__NBM__29__2__29__2
7224,7224,2,120,12__1__140__NBM__15__2__15__2,2__0__215__NBM__29__2copy__29__2copy
7083,7083,2,120,18__1__452__NBM__14__1__14__1,2__0__455__NBM__30__1__30__1
8165,WATE1,2,0,150__1__144__TZM__431__431,HVL__1__3623__RAIL__Rail_MTuWThF-XHol
8580,UPPE,2,240,111__0__419__TZM__508__508,HVL__1__3827__RAIL__Rail_SaSu+Hol
7730,7730,2,120,23__1__738__TZM__107__107,7__1__744__TZM__101__2__101__2
7083,7083,2,120,18__1__792__NBM__37__37,2__0__793__NBM__9__9
1147,1148,2,240,260__1__130__UZM__604__2__604__2,262__1__132__UZM__3101__2__3101__2
3000,3000,2,300,1__0__733__TZM__202__202,19__0__717__TZM__205__2__205__2
3000,3000,2,300,1__0__733__TZM__202__202,19__0__717__TZM__205__8__205__8
7083,7083,2,120,18e__1__123__NBM__154__154,2__0__117__NBM__104__3__104__3
7083,7083,2,120,18e__1__123__NBM__154copy__154copy,2__0__117__NBM__104__3__104__3
6055,6017,2,240,1__1__488__TZM__116__1__116__1,29__1__442__TZM__117__1__117__1
7083,7083,2,120,18__1__480__NBM__41__41,2__0__483__NBM__8__1__8__1
TAIT2,9251,2,0,HVL__0__3826__RAIL__Rail_SaSu+Hol,120__0__707__TZM__602__602
3081,3081,2,120,19__0__151__TZM__130__130,1__1__182__TZM__118__1__118__1
3081,3081,2,120,19__0__151__TZM__130__1__130__1,1__1__182__TZM__118__3__118__3
6720,7720,2,120,7__0__411__TZM__211__2__211__2,29__0__409__TZM__103__1__103__1
7224,7224,2,120,12__1__424__NBM__31__1__31__1,2__0__449__NBM__9__1__9__1
PARA2,1001,2,240,KPL__0__6458__RAIL__Rail_SaSu+Hol,261__0__423__UZM__4703__4703
7083,7083,2,120,18e__1__408__NBM__37__1__37__1,2__0__429__NBM__23__1__23__1
9001,PETO1,2,0,150__1__412__TZM__415__415,HVL__1__3829__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__730__TZM__602__602,HVL__1__3867__RAIL__Rail_SaSu+Hol
8251,TAIT1,2,0,120__1__718__TZM__602__602,HVL__1__3835__RAIL__Rail_SaSu+Hol
9150,MELL,2,240,145__1__114__TZM__406__2__406__2,MEL__1__5623__RAIL__Rail_MTuWThF-XHol
9150,MELL,2,240,145__1__114__TZM__406__3__406__3,MEL__1__5623__RAIL__Rail_MTuWThF-XHol
PORI2,2002,2,0,KPL__0__6312__RAIL__Rail_MTuWThF-XHol,236__0__113__TZM__315__315
PORI2,2002,2,0,KPL__0__6312__RAIL__Rail_MTuWThF-XHol,236__0__113__TZM__315__1__315__1
PORI1,2002,2,0,KPL__1__7203__RAIL__Rail_MTuWThF-XHol,60e__1__100__MNM__3211__3211
9150,MELL,2,240,145__1__110__TZM__406__2__406__2,MEL__1__5619__RAIL__Rail_MTuWThF-XHol
9150,MELL,2,240,145__1__110__TZM__406__3__406__3,MEL__1__5619__RAIL__Rail_MTuWThF-XHol
2600,PARE,2,240,236__1__138__TZM__316__316,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
2600,PARE,2,240,236__1__138__TZM__316__1__316__1,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
2600,PARE,2,240,236__1__138__TZM__316__2__316__2,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
2600,PARE,2,240,236__1__138__TZM__316__3__316__3,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
2002,PORI2,2,0,60__0__157__MNM__3112__3112,KPL__0__6340__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,160__1__704__TZM__601__601,HVL__1__3821__RAIL__Rail_SaSu+Hol
UPPE,8580,2,240,HVL__0__3608__RAIL__Rail_MTuWThF-XHol,113__0__101__TZM__505__3__505__3
7720,7700,2,60,29__1__704__TZM__105__105,7__1__712__TZM__115__115
8140,WATE1,2,0,170__0__453__TZM__604__604,HVL__1__3861__RAIL__Rail_Sa
PETO2,9001,2,0,HVL__0__2640__RAIL__Rail_MTuWThF-XHol,154__0__117__TZM__408__1__408__1
PETO2,9001,2,0,HVL__0__2640__RAIL__Rail_MTuWThF-XHol,154__0__117__TZM__408__2__408__2
UPPE,8579,2,240,HVL__0__2632__RAIL__Rail_MTuWThF-XHol,110__0__127__TZM__504__2__504__2
2001,PORI1,2,0,220__0__727__TZM__303__1__303__1,KPL__1__6441__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,220__0__727__TZM__303__6__303__6,KPL__1__6441__RAIL__Rail_SaSu+Hol
6055,6017,2,240,1__1__198__TZM__237__237,29__1__136__TZM__129__129
8297,TAIT1,2,0,121__1__112__TZM__426__426,HVL__1__2617__RAIL__Rail_MTuWThF-XHol
TAIT2,9251,2,0,HVL__0__3656__RAIL__Rail_MTuWThF-XHol,120__0__211__TZM__419__1__419__1
TAIT2,9251,2,0,HVL__0__3656__RAIL__Rail_MTuWThF-XHol,120__0__211__TZM__419__2__419__2
