route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
2910,TuTh-XHol,291__0__9999__UZO__TuTh-XHol,HRC=Serves Manakau on request# departure times from Manakau are approximate. This service is managed by Horizons Regional Council; please contact them for more information on 0508 800 800.,0,,[@6.0.57249915@]1,,2,9999
20,32_2,2__0__571__NBM__32__2__32__2,,0,,[@364.0.23226994@]5,,2,571
8,WHF SaSu+Hol,WHF__1__118__EBYW__WHF_SaSu+Hol,,1,,[@6.0.93606290@]WHF:843#24664#24664,,2,118
1300,405_3,130__0__709__TZM__405__3__405__3,,0,,[@364.0.17527495@]3,,2,709
2600,38_2,260__1__148__UZM__38__2__38__2,,1,,[@366.0.28965553@]1,,2,148
10,105,1__0__727__TZM__105__105,,0,,[@364.0.17528045@]12,,2,727
2620,1115_1,262__1__718__UZM__1115__1__1115__1,,1,,[@366.0.28965575@]2,,2,718
2810,1103,281__0__705__UZM__1103__1103,,0,,[@364.0.10228169@]1,,2,705
2360,302_3,236__0__709__TZM__302__3__302__3,,0,,[@356.0.45924880@]236:670#21452#21487,,2,709
1100,421_2,110__1__140__TZM__421__2__421__2,,1,,[@356.0.42935074@]2,,2,140
120,42_2,12__1__434__NBM__42__2__42__2,,1,,[@364.0.23227021@]1,,2,434
2200,304_4,220__1__732__TZM__304__4__304__4,,1,,[@356.0.45924825@]2,,2,732
1200,407_4,120__0__713__TZM__407__4__407__4,,0,,[@364.0.17527449@]1,,2,713
2620,1118_1,262__0__723__UZM__1118__1__1118__1,,0,,[@366.0.28965575@]1,,2,723
20,41,2__0__835__NBM__41__41,,0,,[@364.0.23226994@]5,,2,835
2,Rail MTuWThF-XHol,KPL__0__6238__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608271@]KPL:820#24487#24499,,2,6238
601,3011,60e__0__103__MNM__3011__3011,WP=Continues to Whitireia Polytechnic,0,,[@356.0.29339899@]4,,2,103
280,235,28__1__104__NBM__235__235,,1,,[@364.0.23227051@]2,,2,104
1700,614_2,170__0__167__TZM__614__2__614__2,,0,,[@356.0.42935339@]170:564#18381#18436,,2,167
9,CCL Su+Hol-Xmas,CCL__0__10342__WCCL__CCL_Su+Hol-Xmas,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10342
1700,432_2,170__0__151__TZM__432__2__432__2,,0,,[@356.0.42935339@]170:564#18381#18436,,2,151
20,14_2,2__0__511__NBM__14__2__14__2,,0,,[@364.0.23226994@]5,,2,511
6,Rail XmasWeek 5-6Jan,JVL__1__9333__RAIL__Rail_XmasWeek_5-6Jan,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9333
1600,614_2,160__0__117__TZM__614__2__614__2,,0,,[@356.0.42935312@]5,,2,117
6,Rail Sa,JVL__1__9345__RAIL__Rail_Sa,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9345
1210,424_2,121__1__118__TZM__424__2__424__2,,1,,[@356.0.42934812@]2,,2,118
